iter	Passed	Remaining
467	756	860
468	758	858
469	760	857
470	761	855
471	763	853
472	764	852
473	767	851
474	768	849
475	770	848
476	771	846
477	773	844
478	774	842
479	776	841
480	777	839
481	779	837
482	781	836
483	782	834
484	784	832
485	785	831
486	787	829
487	788	827
488	790	825
489	791	824
490	793	822
491	794	820
492	796	819
493	798	817
494	799	816
495	801	814
496	803	812
497	804	810
498	806	809
499	807	807
500	809	806
501	811	804
502	812	803
503	814	801
504	816	799
505	817	798
506	819	796
507	820	794
508	822	793
509	824	791
510	825	790
511	827	788
512	829	787
513	830	785
514	832	784
515	834	782
516	835	780
517	837	778
518	838	777
519	840	775
520	842	774
521	843	772
522	845	770
523	846	769
524	848	767
525	849	765
526	851	763
527	852	762
528	854	760
529	855	758
530	857	757
531	858	755
532	860	753
533	861	752
534	863	750
535	864	748
536	866	746
537	867	745
538	869	743
539	871	742
540	872	740
541	873	738
542	875	736
543	876	735
544	878	733
545	880	731
546	881	729
547	882	728
548	884	726
549	886	725
550	888	723
551	889	722
552	891	720
553	892	718
554	894	716
555	895	715
556	897	713
557	898	711
558	899	709
559	902	708
560	903	707
561	905	705
562	906	703
563	908	702
564	909	700
565	911	698
566	912	697
567	914	695
568	916	694
569	918	692
570	919	690
571	921	689
572	922	687
573	924	685
574	925	684
575	927	682
576	928	680
577	930	679
578	931	677
579	933	675
580	934	674
581	936	672
582	937	670
583	939	669
584	940	667
585	942	665
586	943	663
587	945	662
588	946	660
589	948	658
590	950	657
591	951	655
592	952	653
593	954	652
594	955	650
595	957	648
596	958	647
597	960	645
598	961	643
599	963	642
600	964	640
601	966	638
602	967	637
603	969	635
604	970	633
605	972	632
606	973	630
607	975	628
608	976	627
609	978	625
610	979	623
611	981	622
612	983	620
613	984	618
614	986	617
615	987	615
616	989	614
617	990	612
618	992	610
619	993	609
620	995	607
621	997	605
622	998	604
623	999	602
624	1001	600
625	1003	599
626	1005	597
627	1006	596
628	1008	594
629	1009	592
630	1010	591
631	1012	589
632	1014	587
633	1015	586
634	1016	584
635	1018	583
636	1020	581
637	1021	579
638	1023	578
639	1024	576
640	1026	574
641	1028	573
642	1029	571
643	1030	569
644	1032	568
645	1034	566
646	1036	565
647	1038	563
648	1040	562
649	1043	561
650	1045	560
651	1047	558
652	1048	557
653	1050	555
654	1052	554
655	1053	552
656	1055	550
657	1056	549
658	1057	547
659	1059	546
660	1062	544
661	1063	542
662	1065	541
663	1066	539
664	1068	538
665	1069	536
666	1071	534
667	1072	533
668	1074	531
669	1076	530
670	1077	528
671	1079	526
672	1080	525
673	1082	523
674	1083	521
675	1085	520
676	1086	518
677	1088	516
678	1090	515
679	1092	513
680	1093	512
681	1095	510
682	1097	509
683	1098	507
684	1100	505
685	1101	504
686	1103	502
687	1104	500
688	1106	499
689	1107	497
690	1109	496
691	1110	494
692	1112	492
693	1114	491
694	1115	489
695	1117	487
696	1118	486
697	1120	484
698	1122	483
699	1123	481
700	1125	480
701	1126	478
702	1128	476
703	1130	475
704	1131	473
705	1132	471
706	1134	470
707	1136	468
708	1138	467
709	1139	465
710	1141	463
711	1142	462
712	1144	460
713	1146	459
714	1147	457
715	1149	455
716	1150	454
717	1151	452
718	1153	450
719	1155	449
720	1156	447
721	1158	445
722	1159	444
723	1161	442
724	1163	441
725	1164	439
726	1166	438
727	1168	436
728	1169	434
729	1171	433
730	1172	431
731	1174	429
732	1176	428
733	1177	426
734	1179	425
735	1180	423
736	1182	421
737	1184	420
738	1185	418
739	1187	417
740	1188	415
741	1190	413
742	1192	412
743	1193	410
744	1195	409
745	1197	407
746	1198	405
747	1200	404
748	1201	402
749	1203	401
750	1204	399
751	1206	397
752	1207	396
753	1209	394
754	1210	392
755	1212	391
756	1213	389
757	1215	388
758	1217	386
759	1218	384
760	1220	383
761	1221	381
762	1223	379
763	1225	378
764	1226	376
765	1228	375
766	1230	373
767	1231	372
768	1233	370
769	1234	368
770	1236	367
771	1238	365
772	1239	364
773	1241	362
774	1242	360
775	1244	359
776	1246	357
777	1247	356
778	1249	354
779	1250	352
780	1252	351
781	1254	349
782	1255	348
783	1257	346
784	1258	344
785	1260	343
786	1261	341
787	1263	339
788	1265	338
789	1266	336
790	1267	335
791	1269	333
792	1271	331
793	1272	330
794	1273	328
795	1275	326
796	1276	325
797	1278	323
798	1280	322
799	1281	320
800	1283	318
801	1284	317
802	1286	315
803	1287	313
804	1289	312
805	1290	310
806	1291	308
807	1293	307
808	1295	305
809	1296	304
810	1298	302
811	1299	300
812	1301	299
813	1302	297
814	1304	296
815	1305	294
816	1307	292
817	1308	291
818	1310	289
819	1312	288
820	1313	286
821	1315	284
822	1316	283
823	1318	281
824	1320	280
825	1321	278
826	1323	276
827	1324	275
828	1326	273
829	1327	271
830	1329	270
831	1330	268
832	1332	267
833	1334	265
834	1335	263
835	1337	262
836	1338	260
837	1340	259
838	1342	257
839	1343	255
840	1345	254
841	1346	252
842	1348	251
843	1349	249
844	1351	247
845	1352	246
846	1354	244
847	1355	243
848	1358	241
849	1359	239
850	1361	238
851	1362	236
852	1364	235
853	1366	233
854	1367	231
855	1368	230
856	1370	228
857	1372	227
858	1374	225
859	1375	223
860	1376	222
861	1378	220
862	1379	219
863	1381	217
864	1383	215
865	1384	214
866	1385	212
867	1387	211
868	1389	209
869	1391	207
870	1392	206
871	1393	204
872	1395	202
873	1397	201
874	1398	199
875	1400	198
876	1401	196
877	1403	195
878	1405	193
879	1406	191
880	1408	190
881	1409	188
882	1410	186
883	1412	185
884	1414	183
885	1416	182
886	1417	180
887	1419	178
888	1420	177
889	1422	175
890	1423	174
891	1425	172
892	1426	170
893	1428	169
894	1429	167
895	1431	166
896	1432	164
897	1434	162
898	1435	161
899	1437	159
900	1438	158
901	1440	156
902	1441	154
903	1443	153
904	1445	151
905	1446	150
906	1448	148
907	1449	146
908	1450	145
909	1452	143
910	1454	142
911	1455	140
912	1456	138
913	1458	137
914	1460	135
915	1461	134
916	1463	132
917	1464	130
918	1466	129
919	1467	127
920	1469	126
921	1470	124
922	1472	122
923	1473	121
924	1476	119
925	1478	118
926	1479	116
927	1481	114
928	1482	113
929	1484	111
930	1485	110
931	1487	108
932	1488	106
933	1490	105
934	1491	103
935	1493	102
936	1495	100
937	1496	98
938	1498	97
939	1499	95
940	1501	94
941	1502	92
